"experiment","site","t","v","es","nt","nc","replicated","n"
"Flagpriming","wisc",-0.0295955126906948,0.0438642590931829,"d",38,57,0,95
"Flagpriming","wku",0.109880696267766,0.0409700695323853,"d",44,55,0,99
"Flagpriming","wl",-0.092882475797743,0.0466941694651264,"d",53,36,0,89
"Flagpriming","wpi",0.0848108996911186,0.0471909419274037,"d",38,48,0,86
"Gainloss","abington",-1.11663079417079,0.218290043290043,"logor",39,44,1,83
"Gainloss","brasilia",-1.05559490358442,0.146844033159823,"logor",54,64,1,118
"Gainloss","charles",-0.195308752320766,0.210129212975513,"logor",52,31,1,83
"Gainloss","conncoll",-1.69167601067107,0.213128976286871,"logor",51,40,1,91
"Gainloss","csun",-1.11803037452521,0.18552036199095,"logor",51,43,1,94
"Gainloss","help",-1.21094147364203,0.193953962703963,"logor",56,43,1,99
"Gainloss","ithaca",-1.42711635564015,0.206666666666667,"logor",50,39,1,89
"Gainloss","jmu",-1.46129479205663,0.106287883986367,"logor",85,87,1,172
"Gainloss","ku",-1.12759982554136,0.157633053221289,"logor",54,59,1,113
"Gainloss","laurier",-1.61154096263088,0.172519534129441,"logor",61,49,1,110
"Gainloss","lse",-1.4512198042975,0.0689575585909819,"logor",145,128,1,273
"Gainloss","luc",-1.41975722009277,0.129238076049848,"logor",82,62,1,144
"Gainloss","mcdaniel",-0.628927587825652,0.169514695830485,"logor",47,50,1,97
"Gainloss","msvu",-1.07307898666294,0.206401526127692,"logor",46,38,1,84
"Gainloss","mturk",-1.21881411424878,0.0176905549703676,"logor",464,532,1,996
"Gainloss","original",-2.19957778751616,0.0701063533958936,"logor",152,155,1,307
"Gainloss","osu",-1.32977315088805,0.16878516568919,"logor",52,54,1,106
"Gainloss","oxy",-0.544727175441672,0.142664576802508,"logor",66,54,1,120
"Gainloss","pi",-1.13164020172842,0.0135634353077697,"logor",680,632,1,1312
"Gainloss","psu",-1.26113121816588,0.185906862745098,"logor",47,48,1,95
"Gainloss","qccuny",-1.36859478402049,0.180012531328321,"logor",43,59,1,102
"Gainloss","qccuny2",-0.608027951722353,0.205012077294686,"logor",41,39,1,80
"Gainloss","sdsu",-0.834612700859888,0.104021693783897,"logor",80,81,1,161
"Gainloss","swps",-1.14990558305566,0.234298245614035,"logor",44,34,1,78
"Gainloss","swpson",-1.09493355981065,0.118065935079399,"logor",80,85,1,165
"Gainloss","tamu",-1.09861228866811,0.0949404761904762,"logor",80,105,1,185
"Gainloss","tamuc",-0.967584026261706,0.199774436090226,"logor",39,47,1,86
"Gainloss","tamuon",-0.980829253011726,0.0761805555555556,"logor",115,109,1,224
"Gainloss","tilburg",-2.07452752687741,0.295687240413407,"logor",46,34,1,80
"Gainloss","ufl",-2.27893090209616,0.180638067606153,"logor",68,59,1,127
"Gainloss","unipd",-1.75175413461436,0.153986594637855,"logor",82,61,1,143
"Gainloss","uva",-1.64590759221549,0.247186147186147,"logor",36,43,1,79
"Gainloss","vcu",-0.643585113611931,0.15961961961962,"logor",43,64,1,107
"Gainloss","wisc",-2.10413415427021,0.224390243902439,"logor",56,40,1,96
"Gainloss","wku",-1.40246722036549,0.186526389211811,"logor",46,56,1,102
"Gainloss","wl",-0.999672340813206,0.200144927536232,"logor",42,48,1,90
"Gainloss","wpi",-1.34227747570312,0.214790669856459,"logor",51,36,1,87
"Gamblersfallacy","abington",0.596235818505242,0.0522218571954289,"d",40,40,1,80
"Gamblersfallacy","brasilia",0.35717253020284,0.0360403862748826,"d",63,51,1,114
"Gamblersfallacy","charles",0.895900258395239,0.0648331292105971,"d",27,45,1,72
"Gamblersfallacy","conncoll",0.627415645101883,0.051425761424378,"d",36,47,1,83
"Gamblersfallacy","csun",0.521830706938346,0.0471148515409194,"d",36,56,1,92
"Gamblersfallacy","help",0.520567895930255,0.0432414764754836,"d",45,51,1,96
"Gamblersfallacy","ithaca",0.78948211746077,0.0537842893153039,"d",32,53,1,85
"Gamblersfallacy","jmu",0.718821187398464,0.0260237365638818,"d",78,86,1,164
"Gamblersfallacy","ku",0.531113918628219,0.0400466396258638,"d",48,56,1,104
"Gamblersfallacy","laurier",0.967536230208927,0.0421649781113958,"d",52,54,1,106
"Gamblersfallacy","lse",0.647405188281129,0.016578132869662,"d",119,136,1,255
"Gamblersfallacy","luc",0.531200908915043,0.029732693486114,"d",61,81,1,142
"Gamblersfallacy","mcdaniel",0.514048459418489,0.04630484632842,"d",37,56,1,93
"Gamblersfallacy","msvu",0.343482143952105,0.0556128868816126,"d",37,36,1,73
"Gamblersfallacy","mturk",0.620926226228165,0.00428111508471221,"d",470,511,1,981
"Gamblersfallacy","original",0.69,0.0718313559322034,"d",29.5,29.5,1,59
"Gamblersfallacy","osu",0.112177924134663,0.038186284925598,"d",51,54,1,105
"Gamblersfallacy","oxy",1.19657014939675,0.0485325715259403,"d",39,63,1,102
"Gamblersfallacy","pi",0.724484029112042,0.00362507903843874,"d",507,697,1,1204
"Gamblersfallacy","psu",0.61001875637967,0.0489703576317131,"d",33,60,1,93
"Gamblersfallacy","qccuny",0.421989990836793,0.0445784085760386,"d",52,41,1,93
"Gamblersfallacy","qccuny2",0.340798482788184,0.0512309480417426,"d",36,44,1,80
"Gamblersfallacy","sdsu",0.618471505720168,0.0267245215538053,"d",70,89,1,159
"Gamblersfallacy","swps",0.115644627220959,0.0514015181903834,"d",38,40,1,78
"Gamblersfallacy","swpson",0.595726762289807,0.027409700983815,"d",69,85,1,154
"Gamblersfallacy","tamu",0.750303247098819,0.0244693372506494,"d",77,101,1,178
"Gamblersfallacy","tamuc",0.756369304374075,0.0546678113190755,"d",33,48,1,81
"Gamblersfallacy","tamuon",0.594583506190515,0.0196507748995867,"d",98,116,1,214
"Gamblersfallacy","tilburg",0.694243040574127,0.0599615578657876,"d",29,45,1,74
"Gamblersfallacy","ufl",0.380594364284883,0.0348095577934246,"d",58,59,1,117
"Gamblersfallacy","unipd",0.769694093888315,0.0350951914671659,"d",52,74,1,126
"Gamblersfallacy","uva",1.11890874270864,0.0601566164718961,"d",40,37,1,77
"Gamblersfallacy","vcu",0.717433880384235,0.0401771715828877,"d",54,52,1,106
"Gamblersfallacy","wisc",0.791498069785367,0.0459047467174455,"d",46,48,1,94
"Gamblersfallacy","wku",0.44444174468511,0.0447118816546151,"d",37,60,1,97
"Gamblersfallacy","wl",0.0722355596374588,0.0465419649771868,"d",43,43,1,86
"Gamblersfallacy","wpi",0.986769009014805,0.0540995339452321,"d",37,47,1,84
"IAT","abington",0.193374826148404,0.0138888888888889,"z",37.5,37.5,1,75
"IAT","brasilia",0.475957159423294,0.00925925925925926,"z",55.5,55.5,1,111
"IAT","charles",0.289853534216196,0.0131578947368421,"z",39.5,39.5,1,79
"IAT","conncoll",0.545314107159945,0.0123456790123457,"z",42,42,1,84
"IAT","csun",0.187154970164185,0.0121951219512195,"z",42.5,42.5,1,85
"IAT","help",0.355223674389586,0.0111111111111111,"z",46.5,46.5,1,93
"IAT","ithaca",0.41180003447869,0.0125,"z",41.5,41.5,1,83
"IAT","jmu",0.546643022192718,0.00641025641025641,"z",79.5,79.5,1,159
"IAT","ku",0.297474786567973,0.0102040816326531,"z",50.5,50.5,1,101
"IAT","laurier",0.409443429277212,0.0104166666666667,"z",49.5,49.5,1,99
"IAT","lse",0.380336888062185,0.00390625,"z",129.5,129.5,1,259
"IAT","luc",0.482195263334283,0.0078125,"z",65.5,65.5,1,131
"IAT","mcdaniel",0.445266129680317,0.0119047619047619,"z",43.5,43.5,1,87
"IAT","msvu",0.502396766725227,0.0181818181818182,"z",29,29,1,58
"IAT","mturk",0.337227523773896,0.00115207373271889,"z",435.5,435.5,1,871
"IAT","original",0.447692023527421,0.00416666666666667,"z",121.5,121.5,1,243
"IAT","osu",0.257547286842783,0.0119047619047619,"z",43.5,43.5,1,87
"IAT","oxy",0.405916575407461,0.00934579439252336,"z",55,55,1,110
"IAT","pi",0.365443754271396,0.000850340136054422,"z",589.5,589.5,1,1179
"IAT","psu",0.417710618112312,0.0120481927710843,"z",43,43,1,86
"IAT","qccuny",0.459896681212679,0.0111111111111111,"z",46.5,46.5,1,93
"IAT","qccuny2",NA,0.2,"z",4,4,1,8
"IAT","sdsu",0.360892579373737,0.00684931506849315,"z",74.5,74.5,1,149
"IAT","swps",0.309519604203112,0.0142857142857143,"z",36.5,36.5,1,73
"IAT","swpson",0.442845145712719,0.00628930817610063,"z",81,81,1,162
"IAT","tamu",0.301844856437642,0.00581395348837209,"z",87.5,87.5,1,175
"IAT","tamuc",0.32608655317482,0.0126582278481013,"z",41,41,1,82
"IAT","tamuon",0.492249490950344,0.00515463917525773,"z",98.5,98.5,1,197
"IAT","tilburg",0.349576602310079,0.0136986301369863,"z",38,38,1,76
"IAT","ufl",0.691586142763692,0.00833333333333333,"z",61.5,61.5,1,123
"IAT","unipd",0.522984277591344,0.00793650793650794,"z",64.5,64.5,1,129
"IAT","uva",0.606983185004545,0.0133333333333333,"z",39,39,1,78
"IAT","vcu",0.454999602327337,0.010752688172043,"z",48,48,1,96
"IAT","wisc",0.614090362545016,0.0119047619047619,"z",43.5,43.5,1,87
"IAT","wku",0.390742320908816,0.0116279069767442,"z",44.5,44.5,1,89
"IAT","wl",0.316126174664786,0.0116279069767442,"z",44.5,44.5,1,89
"IAT","wpi",0.33499294560134,0.012987012987013,"z",40,40,1,80
"Imaginedcontact","abington",0.114955815681903,0.0494904244651627,"d",50,34,0,84
"Imaginedcontact","brasilia",0.0821479196459303,0.0335102606934018,"d",56,64,0,120
"Imaginedcontact","charles",-0.00936008994039253,0.048980113332471,"d",49,35,0,84
"Imaginedcontact","conncoll",0.208930339224166,0.042377040471922,"d",46,49,0,95
"Imaginedcontact","csun",0.0288928089506567,0.0416891068975342,"d",47,49,0,96
"Imaginedcontact","help",-0.22070735026034,0.0394544692865634,"d",51,51,0,102
"Imaginedcontact","ithaca",0.682036486985399,0.0471167084180547,"d",47,43,0,90
"Imaginedcontact","jmu",0.181715495777961,0.0233911778932923,"d",97,77,0,174
"Imaginedcontact","ku",-0.162751403528165,0.0355404011176072,"d",58,55,0,113
"Imaginedcontact","laurier",0.0220822083905738,0.0357164626068188,"d",56,56,0,112
"Imaginedcontact","lse",0.179098358501275,0.0145000265335716,"d",140,137,0,277
