"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","replicated","t1","t2","v1","v2","mdh0scale","mdh25scale","mdh33scale","mdh67scale"
"manylabs","Imaginedcontact",2,3.17296428945178,3.84145882069418,0.0748664519340622,7.849,4.75884383138652,0.111313272412976,9.139,5.04323657468101,0.123479272005299,9.53133333333333,6.08289572202274,0.172017693527278,10.9426666666667,0,0.86,0.13726864804912,0.163983838383838,0.00063843890721716,1.13671467592245,1.22657367987535,1.2526251629891,1.3421649326009
"manylabs","Mathartgender",2,3.13947904858514,3.84145882069418,0.0764182125729386,7.849,4.75884383138652,0.113259433748437,9.139,5.04323657468101,0.125546506748865,9.53133333333333,6.08289572202274,0.174519391245267,10.9426666666667,1,1.01,0.583442143962418,0.0570973547549497,0.000858631487219528,0.67446018119292,0.727777272431054,0.74323470286054,0.796362379062434
"manylabs","Moneypriming",2,4.61988762468124,3.84145882069418,0.031603308583899,7.849,4.75884383138652,0.0535654693219276,9.139,5.04323657468101,0.0611685372795081,9.53133333333333,6.08289572202274,0.0927920470166957,10.9426666666667,0,0.8,-0.0174401748359549,0.144,0.000637379460488692,1.06548523752578,1.14971344729433,1.17413247808658,1.25806145755138
"manylabs","Reciprocity",2,11.6465784985052,3.84145882069418,0.000643207307479798,7.849,4.75884383138652,0.00183717858079457,9.139,5.04323657468101,0.00232174563305132,9.53133333333333,6.08289572202274,0.00472462305632748,10.9426666666667,1,0.16,0.373839732731997,0.00286989795918367,0.00105635654558449,0.175548203089423,0.189425552444955,0.193448805725047,0.207276854217195
"manylabs","Scales",2,0.378684535649707,3.84145882069418,0.538308092698162,7.849,4.75884383138652,0.58641974599336,9.139,5.04323657468101,0.60132337099052,9.53133333333333,6.08289572202274,0.655789339544198,10.9426666666667,1,0.610215814216905,0.752942782657248,0.0516298841593425,0.00216419931232681,0.649792090725281,0.701159132328451,0.716051213901378,0.767235768241628
"manylabs","Sunkcosts",2,0.172209850936941,3.84145882069418,0.678155264794053,7.849,4.75884383138652,0.713977166093472,9.139,5.04323657468101,0.725009965929175,9.53133333333333,6.08289572202274,0.765051448802436,10.9426666666667,1,0.227912862495395,0.285929513543448,0.018901277635894,0.000644246505254263,0.391679485017881,0.422642337119643,0.431618935826497,0.462471788871356
"ppir","Bad Tipper",2,4.34689252754094e-05,3.84145882069418,0.994739507975148,7.849,4.75884383138652,0.99535762367376,9.139,5.04323657468101,0.995547078883572,9.53133333333333,6.08289572202274,0.996230674549945,10.9426666666667,1,0.640662129188497,0.64221875695516,0.054622061632738,0.00112097752901697,0.661458323993745,0.713747598874615,0.728907049810701,0.781010561089946
"ppir","Belief-Act Inconsistency",2,0.00565947302382099,3.84145882069418,0.940032137817006,7.849,4.75884383138652,0.947066076420837,9.139,5.04323657468101,0.949222350869497,9.53133333333333,6.08289572202274,0.957004144292275,10.9426666666667,1,0.373816200301683,0.360048549060051,0.0323005498079682,0.00119165342604066,0.512718541876277,0.553249713380501,0.565000312469899,0.605387492373286
"ppir","Bigot-Misanthrope",2,4.01450759271159,3.84145882069418,0.0451103941859189,7.849,4.75884383138652,0.0724855899659281,9.139,5.04323657468101,0.0818208292908716,9.53133333333333,6.08289572202274,0.119989041279692,10.9426666666667,1,0.904862174894915,1.21317467515595,0.0222222222222222,0.0014560485549431,0.431104102659637,0.465183530052939,0.475063671031671,0.509022027379557
"ppir","Burn in Hell",2,0.0107218963515993,3.84145882069418,0.917529174520837,7.849,4.75884383138652,0.927187279808672,9.139,5.04323657468101,0.930148422279446,9.53133333333333,6.08289572202274,0.94083674811658,10.9426666666667,1,0.271147496692603,0.288280940718201,0.0262127304057229,0.00116627929105768,0.46357075739312,0.500216722650171,0.510840941738797,0.547356718032496
"ppir","Cold-Hearted Prosociality",2,0.740909896745829,3.84145882069418,0.389369561574714,7.849,4.75884383138652,0.445933552146042,9.139,5.04323657468101,0.463632123287797,9.53133333333333,6.08289572202274,0.529092763843161,10.9426666666667,1,2.26403123574644,2.01470997571385,0.0820364839777222,0.00186182940324315,0.811491134718795,0.875640728831547,0.894238665535349,0.958160360912226
"ppir","Higher Standards - Charity",2,0.0249361867096333,3.84145882069418,0.874526174598098,7.849,4.75884383138652,0.889155034491788,9.139,5.04323657468101,0.893641988445491,9.53133333333333,6.08289572202274,0.909845595307267,10.9426666666667,0,0.920766661246409,0.881954985161369,0.058994891463797,0.00141314999300278,0.688580218561659,0.743013519980419,0.758794556608426,0.81303447752721
"ppir","Higher Standards - Company",2,9.47410168788738,3.84145882069418,0.0020839290578375,7.849,4.75884383138652,0.00514177340641631,9.139,5.04323657468101,0.00632664971100316,9.53133333333333,6.08289572202274,0.011913162602698,10.9426666666667,1,0.344463340209902,1.00860053122886,0.0451036388486031,0.00145256489770737,0.604499498101356,0.652286092169327,0.666140147897323,0.713756974649842
"ppir","Intuitive Economics",2,5.10792641144509,3.84145882069418,0.0238167693373132,7.849,4.75884383138652,0.0420872109601296,9.139,5.04323657468101,0.0484884351986004,9.53133333333333,6.08289572202274,0.0754761815444858,10.9426666666667,1,0.847075820368799,0.509780404365369,0.0210604350243459,0.00121243825002467,0.418114556468122,0.451167140707823,0.460749584339603,0.493684745511087
"ppir","Moral Cliff",2,0.000273107405836319,3.84145882069418,0.986814790576104,7.849,4.75884383138652,0.988363961117342,9.139,5.04323657468101,0.988838791846859,9.53133333333333,6.08289572202274,0.990552097928721,10.9426666666667,1,0.709664760638812,0.713006234259124,0.0397398265631407,0.00114315836013186,0.566472019311428,0.611252484014411,0.624235017413595,0.668856394417914
