"paper","experiment","k","Q","p0","p25","p33","p67","mdh0","mdh25","mdh33","mdh67","mdh0scale","mdh25scale","mdh33scale","mdh67scale","mdh0ratio","mdh25ratio","mdh33ratio","mdh67ratio","mdh0ratioub","mdh25ratioub","mdh33ratioub","mdh67ratioub","t1","t195","t2","t295","v1","v2","replicated"
"ppir","Moral Inversion",2,1.05098001026105,0.305281489640743,0.363339366773754,0.381660465730927,0.450112098344297,7.849,9.139,9.53133333333333,10.9426666666667,0.771613622747966,0.832610839591628,0.850294854489253,0.911075371776156,0.954129900237303,1.0295553031929,1.05142226727005,1.12657971289522,0.273097479024666,0.294686245288537,0.300945154858299,0.322457224572354,0.808709194163244,2.82541466696686,0.526357791340611,2.09928186132307,0.0746035393165876,0.00125167571847929,1
"ppir","Presumption of Guilt",2,0.44693796435007,0.503792664468196,0.554377201984526,0.570076633182517,0.627581611501438,7.849,9.139,9.53133333333333,10.9426666666667,0.636693308722727,0.687024871917218,0.701616752652258,0.751769507238756,21.4575453214558,23.1537965362079,23.6455653955753,25.3357904847858,0.2253450851539,0.243158952896196,0.248323462341709,0.26607404429092,0.0296722341341666,2.82541466696686,0.18160335591699,2.09928186132307,0.0506465980554466,0.00100053780546479,0
"rand","time/delay",2,2.78743874102731,0.0950059669006973,0.136108554638804,0.149692730226491,0.203269718575686,7.849,9.139,9.53133333333333,10.9426666666667,0.483168073711529,0.521363236284162,0.532436591084641,0.570496060994098,1.77693399064482,1.91740329386712,1.95812746751604,2.09809773754761,0.800561335273705,0.863846912309574,0.882194357406545,0.945255105225564,0.271911098698829,0.603536609154797,-0.0160234187644587,0.0814797770110887,0.0286275195713196,0.00111529957176988,0
"rpe","Abeler et al.",2,0.884311304346445,0.347023560657117,0.404711780690497,0.422833403337793,0.490174043711446,7.849,9.139,9.53133333333333,10.9426666666667,0.303319848349775,0.327297738342032,0.334249290982926,0.358141996791343,1.66675111068009,1.79851029160343,1.83670926917841,1.96800036061207,0.208162547006478,0.224618109277741,0.22938882544172,0.245785927454712,0.181982688600706,1.45712978973271,0.0801713250375897,1.10403509368271,0.00854700854700855,0.00317460317460317,0
"rpe","Ambrus and Greiner",2,0.6430529245169,0.422607446340839,0.477836227574733,0.495070435174116,0.558608623578791,7.849,9.139,9.53133333333333,10.9426666666667,0.301700503110557,0.325550381427296,0.332464821549059,0.356229970458008,0.941209870288183,1.01561392545365,1.03718478537275,1.11132451166208,0.207051221680054,0.223418932013609,0.228164178573307,0.244473740752602,0.320545409301946,1.45712978973271,0.234189466759367,1.10403509368271,0.0087719298245614,0.00282485875706215,1
"rpe","Bartling et al.",2,1.75911372062283,0.184735100605079,0.238213823677703,0.255415818190103,0.321153125723888,7.849,9.139,9.53133333333333,10.9426666666667,0.242560837020272,0.261735635828015,0.267294699754557,0.286401377906677,0.267241973985537,0.288367853773494,0.294492565559168,0.31554339325421,0.166464812351937,0.179624106014624,0.183439184098754,0.196551727872651,0.907644983319124,1.45712978973271,0.792813631870191,1.10403509368271,0.00469483568075117,0.00280112044817927,1
"rpe","Charness and Dufwenberg",2,0.0530616723711632,0.81781888327446,0.838872547433891,0.845335224071126,0.868695987094333,7.849,9.139,9.53133333333333,10.9426666666667,0.281846725737731,0.304127133106998,0.310586559884668,0.332787813570354,0.704511753930291,0.760204467169791,0.77635062631572,0.83184548485138,0.193425958156708,0.208716570925907,0.213149550625577,0.22838584175223,0.400059650056057,1.45712978973271,0.37688590118819,1.10403509368271,0.00628930817610063,0.00383141762452107,1
"rpe","Chen and Chen",2,53.5904909914899,2.46913600676635e-13,4.53714843473563e-12,7.74802444425404e-12,3.90915078085641e-11,7.849,9.139,9.53133333333333,10.9426666666667,0.401650744002924,0.43340183911723,0.442606961384635,0.474245257119003,0.328905547153096,0.354906025098693,0.362443956550775,0.388352064838577,0.275645139391874,0.297435302037667,0.303752599461868,0.32546535007427,1.2211735176846,1.45712978973271,0.171666663500579,1.10403509368271,0.0144927536231884,0.00606060606060606,0
"rpe","de Clippel et al.",2,1.88059270715722,0.170266797997368,0.222430843458621,0.239264446902986,0.303838972201591,7.849,9.139,9.53133333333333,10.9426666666667,0.319279443861002,0.344518963870454,0.351836282117942,0.376986135859294,2.64784143969569,2.85715728599914,2.91784111283383,3.12641334076476,0.219115308815126,0.23643670337263,0.241458437400063,0.258718295731534,0.120581028408444,1.45712978973271,0.2768638226551,1.10403509368271,0.00645161290322581,0.0065359477124183,1
"rpe","Duffy and Puzzello",2,41.0807551517481,1.46067491435531e-10,1.71893133060763e-09,2.73849209975197e-09,1.11636846433782e-08,7.849,9.139,9.53133333333333,10.9426666666667,0.48815961554258,0.526749367000734,0.537937119081795,0.576389776054837,0.490014279239224,0.52875064465071,0.53998090233234,0.578579652395954,0.335014505215851,0.361497905479895,0.369175843409579,0.395565158379315,0.996215082345103,1.45712978973271,-0.120581028408444,1.10403509368271,0.0196078431372549,0.010752688172043,0
